Note: Window features are placed at the end of the addresses for that window [Final column for the day].

Address,Year,Day,Amount Sent,Income,Neighbours,CoAddresses,Is Randsome

0 in 2009,2009,339,0,0.0,2,0,true
NoName,2009,339,435000000,9.0E10,1,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
NoName,2009,339,4000000000,5.0E9,1,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
137zjnSXZs7Wdhg8zCoAJHz3NPgX8WtPPv,2009,339,89565000000,9.0E10,1,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,339,1000000000,5.0E9,1,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
0 in 2009,2009,339,0,0.0,2,0,true
~~~~ Features of the above window ~~~~
,2009,339,,,,,,Total transactions in window: 23,Ransome addresses in window: 23,White addresses in window: 0

1 in 2009,2009,340,0,0.0,2,0,true
0 in 2009,2009,340,0,0.0,2,0,true
1DNML6RyHdsqRS7te5SpCkMGoYEkVJU6wD,2009,340,9000000000,9.0E9,1,0,true
~~~~ Features of the above window ~~~~
,2009,340,,,,,,Total transactions in window: 4,Ransome addresses in window: 3,White addresses in window: 0

0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
0 in 2009,2009,341,0,0.0,2,0,true
